height,width
178.0,73.0
232.0,111.0
85.0,28.0
82.0,39.0
141.0,47.0
130.0,52.0
116.0,38.0
115.0,39.0
168.0,42.0
136.0,45.0
159.0,63.0
107.0,35.0
98.0,34.0
115.0,45.0
300.0,93.0
124.0,29.0
128.0,44.0
178.0,60.0
91.0,40.0
190.0,97.0
151.0,49.0
83.0,27.0
123.0,46.0
188.0,60.0
236.0,75.0
167.0,56.0
265.0,85.0
115.0,42.0
90.0,27.0
217.0,151.0
87.0,29.0
326.0,76.0
150.0,64.0
84.0,34.0
96.0,38.0
94.0,37.0
93.0,29.0
69.0,28.0
234.0,49.0
287.0,148.0
109.0,48.0
85.0,47.0
93.0,26.0
92.0,28.0
106.0,39.0
178.0,70.0
135.0,51.0
244.0,54.0
101.0,33.0
111.0,28.0
186.0,63.0
86.0,41.0
80.0,31.0
83.0,29.0
81.0,26.0
118.0,64.0
129.0,34.0
81.0,48.0
315.0,108.0
85.0,23.0
97.0,44.0
153.0,66.0
129.0,33.0
166.0,53.0
172.0,54.0
158.0,72.0
160.0,69.0
156.0,90.0
99.0,42.0
76.0,24.0
75.0,18.0
458.0,222.0
258.0,115.0
366.0,146.0
306.0,69.0
123.0,34.0
229.0,92.0
203.0,80.0
119.0,31.0
121.0,35.0
127.0,41.0
109.0,40.0
138.0,59.0
105.0,36.0
117.0,32.0
112.0,31.0
186.0,39.0
189.0,75.0
290.0,104.0
94.0,26.0
179.0,69.0
561.0,298.0
553.0,280.0
391.0,131.0
212.0,83.0
186.0,62.0
189.0,64.0
200.0,63.0
100.0,28.0
213.0,65.0
197.0,69.0
159.0,49.0
211.0,105.0
133.0,57.0
72.0,26.0
89.0,39.0
109.0,45.0
126.0,40.0
85.0,23.0
57.0,20.0
252.0,87.0
93.0,38.0
83.0,25.0
105.0,24.0
134.0,83.0
124.0,48.0
93.0,36.0
82.0,24.0
76.0,24.0
229.0,77.0
250.0,75.0
86.0,26.0
87.0,24.0
113.0,52.0
102.0,26.0
90.0,29.0
241.0,81.0
198.0,78.0
112.0,46.0
204.0,82.0
237.0,84.0
212.0,79.0
238.0,107.0
166.0,53.0
147.0,42.0
416.0,132.0
482.0,143.0
473.0,191.0
404.0,129.0
397.0,139.0
358.0,137.0
274.0,99.0
236.0,125.0
217.0,54.0
206.0,86.0
206.0,83.0
281.0,89.0
306.0,149.0
192.0,75.0
199.0,93.0
172.0,64.0
164.0,60.0
142.0,44.0
148.0,69.0
118.0,34.0
167.0,81.0
135.0,54.0
152.0,54.0
126.0,53.0
171.0,48.0
444.0,155.0
124.0,33.0
69.0,18.0
66.0,19.0
195.0,69.0
189.0,73.0
159.0,85.0
77.0,37.0
226.0,85.0
103.0,50.0
73.0,45.0
192.0,96.0
231.0,40.0
182.0,65.0
111.0,34.0
125.0,37.0
86.0,29.0
84.0,25.0
287.0,113.0
230.0,47.0
236.0,135.0
99.0,36.0
120.0,50.0
130.0,46.0
180.0,69.0
176.0,64.0
147.0,68.0
142.0,46.0
317.0,125.0
202.0,70.0
148.0,61.0
297.0,89.0
260.0,101.0
95.0,35.0
95.0,25.0
212.0,66.0
199.0,43.0
81.0,28.0
205.0,33.0
116.0,37.0
88.0,51.0
157.0,82.0
109.0,35.0
67.0,24.0
316.0,94.0
310.0,114.0
138.0,58.0
148.0,67.0
120.0,38.0
111.0,40.0
129.0,45.0
163.0,94.0
312.0,195.0
166.0,89.0
174.0,80.0
71.0,24.0
239.0,89.0
199.0,77.0
196.0,61.0
96.0,43.0
89.0,35.0
255.0,86.0
296.0,120.0
110.0,33.0
93.0,30.0
70.0,29.0
98.0,33.0
213.0,96.0
185.0,57.0
124.0,60.0
180.0,56.0
116.0,56.0
123.0,38.0
103.0,26.0
115.0,33.0
121.0,29.0
170.0,52.0
179.0,64.0
81.0,32.0
198.0,77.0
195.0,65.0
111.0,53.0
356.0,147.0
246.0,63.0
171.0,48.0
143.0,45.0
148.0,56.0
170.0,76.0
236.0,106.0
379.0,155.0
230.0,115.0
217.0,105.0
274.0,86.0
229.0,77.0
262.0,106.0
140.0,75.0
239.0,125.0
217.0,92.0
170.0,48.0
71.0,21.0
120.0,37.0
209.0,84.0
450.0,227.0
175.0,60.0
178.0,63.0
111.0,41.0
128.0,43.0
144.0,46.0
236.0,94.0
112.0,61.0
590.0,167.0
76.0,20.0
117.0,63.0
119.0,68.0
192.0,95.0
127.0,29.0
133.0,67.0
100.0,58.0
120.0,60.0
190.0,78.0
223.0,81.0
197.0,79.0
223.0,149.0
110.0,68.0
114.0,52.0
115.0,73.0
135.0,44.0
188.0,88.0
160.0,57.0
210.0,86.0
217.0,83.0
144.0,56.0
121.0,42.0
133.0,54.0
107.0,40.0
111.0,40.0
116.0,43.0
89.0,28.0
122.0,35.0
69.0,20.0
85.0,34.0
51.0,45.0
139.0,42.0
94.0,43.0
101.0,30.0
445.0,182.0
158.0,88.0
159.0,77.0
110.0,56.0
94.0,26.0
91.0,27.0
73.0,28.0
91.0,32.0
105.0,37.0
68.0,28.0
366.0,92.0
166.0,66.0
119.0,56.0
139.0,58.0
173.0,67.0
151.0,33.0
145.0,41.0
149.0,76.0
126.0,36.0
240.0,80.0
219.0,75.0
345.0,180.0
224.0,65.0
120.0,52.0
134.0,49.0
146.0,68.0
73.0,21.0
154.0,70.0
140.0,67.0
75.0,29.0
97.0,32.0
96.0,30.0
89.0,24.0
62.0,28.0
68.0,20.0
70.0,37.0
73.0,24.0
198.0,64.0
114.0,46.0
120.0,43.0
107.0,36.0
99.0,32.0
121.0,39.0
100.0,35.0
66.0,14.0
117.0,43.0
109.0,24.0
120.0,29.0
119.0,28.0
196.0,100.0
94.0,27.0
116.0,33.0
190.0,65.0
201.0,94.0
226.0,70.0
147.0,42.0
96.0,26.0
211.0,75.0
316.0,97.0
292.0,78.0
171.0,82.0
169.0,50.0
100.0,42.0
182.0,63.0
149.0,49.0
196.0,67.0
96.0,38.0
173.0,68.0
125.0,52.0
287.0,100.0
159.0,52.0
155.0,56.0
261.0,101.0
242.0,112.0
127.0,64.0
437.0,279.0
282.0,130.0
512.0,152.0
296.0,106.0
191.0,67.0
178.0,51.0
115.0,42.0
132.0,43.0
98.0,39.0
260.0,82.0
225.0,58.0
