height,width
211.0,59.0
185.0,68.0
157.0,33.0
79.0,27.0
192.0,87.0
97.0,33.0
58.0,23.0
62.0,40.0
66.0,24.0
66.0,25.0
32.0,15.0
84.0,34.0
190.0,56.0
80.0,39.0
197.0,108.0
30.0,9.0
475.0,236.0
75.0,34.0
53.0,23.0
57.0,19.0
51.0,16.0
100.0,32.0
101.0,36.0
97.0,28.0
48.0,20.0
154.0,87.0
159.0,52.0
168.0,85.0
211.0,91.0
503.0,238.0
70.0,37.0
92.0,35.0
102.0,38.0
91.0,33.0
114.0,36.0
62.0,44.0
32.0,32.0
166.0,91.0
155.0,48.0
130.0,45.0
118.0,50.0
178.0,53.0
46.0,24.0
35.0,52.0
60.0,26.0
97.0,47.0
92.0,41.0
147.0,39.0
165.0,73.0
133.0,58.0
76.0,28.0
67.0,32.0
67.0,21.0
52.0,18.0
57.0,26.0
101.0,32.0
193.0,79.0
228.0,59.0
100.0,38.0
37.0,18.0
158.0,46.0
149.0,50.0
138.0,65.0
200.0,146.0
288.0,117.0
188.0,135.0
64.0,46.0
103.0,44.0
84.0,20.0
54.0,56.0
68.0,24.0
69.0,28.0
126.0,46.0
117.0,38.0
87.0,35.0
95.0,43.0
57.0,28.0
193.0,75.0
61.0,25.0
194.0,92.0
94.0,21.0
63.0,40.0
34.0,17.0
76.0,33.0
244.0,69.0
62.0,28.0
87.0,21.0
49.0,19.0
64.0,22.0
39.0,18.0
186.0,75.0
191.0,71.0
182.0,96.0
257.0,84.0
80.0,39.0
208.0,64.0
230.0,71.0
97.0,29.0
139.0,64.0
95.0,38.0
76.0,25.0
89.0,46.0
80.0,39.0
334.0,108.0
327.0,188.0
306.0,161.0
64.0,33.0
107.0,64.0
149.0,44.0
91.0,69.0
177.0,102.0
54.0,40.0
170.0,75.0
104.0,47.0
196.0,189.0
75.0,29.0
67.0,25.0
85.0,40.0
73.0,28.0
60.0,21.0
56.0,16.0
59.0,20.0
90.0,53.0
58.0,16.0
109.0,40.0
34.0,24.0
94.0,72.0
59.0,18.0
33.0,14.0
213.0,62.0
225.0,106.0
94.0,84.0
160.0,47.0
160.0,43.0
58.0,34.0
99.0,32.0
109.0,37.0
165.0,59.0
148.0,51.0
71.0,33.0
77.0,39.0
98.0,46.0
69.0,35.0
64.0,25.0
158.0,35.0
139.0,42.0
68.0,40.0
103.0,30.0
46.0,17.0
42.0,17.0
50.0,14.0
257.0,119.0
60.0,24.0
55.0,24.0
75.0,27.0
55.0,26.0
131.0,78.0
189.0,52.0
139.0,53.0
141.0,49.0
64.0,45.0
211.0,59.0
259.0,98.0
51.0,32.0
145.0,61.0
48.0,18.0
97.0,49.0
165.0,47.0
244.0,59.0
189.0,100.0
125.0,36.0
349.0,95.0
302.0,92.0
65.0,24.0
42.0,11.0
89.0,36.0
72.0,28.0
72.0,25.0
81.0,25.0
62.0,20.0
82.0,26.0
98.0,28.0
159.0,55.0
124.0,53.0
67.0,22.0
117.0,46.0
94.0,39.0
144.0,74.0
140.0,56.0
111.0,39.0
76.0,40.0
252.0,130.0
81.0,22.0
77.0,29.0
212.0,76.0
64.0,24.0
71.0,18.0
429.0,143.0
92.0,34.0
60.0,19.0
39.0,30.0
138.0,47.0
274.0,95.0
338.0,161.0
313.0,167.0
283.0,97.0
77.0,24.0
63.0,21.0
83.0,39.0
34.0,18.0
82.0,46.0
76.0,25.0
94.0,40.0
70.0,22.0
40.0,14.0
58.0,22.0
148.0,53.0
78.0,27.0
215.0,83.0
152.0,63.0
62.0,21.0
64.0,15.0
62.0,16.0
57.0,18.0
92.0,31.0
49.0,21.0
70.0,29.0
68.0,31.0
118.0,60.0
78.0,33.0
31.0,22.0
63.0,27.0
211.0,62.0
204.0,71.0
188.0,42.0
172.0,29.0
151.0,35.0
62.0,16.0
139.0,50.0
460.0,154.0
388.0,110.0
116.0,47.0
71.0,91.0
153.0,81.0
117.0,42.0
121.0,44.0
111.0,35.0
71.0,23.0
80.0,27.0
95.0,33.0
71.0,32.0
27.0,26.0
51.0,23.0
133.0,62.0
163.0,50.0
75.0,28.0
109.0,47.0
219.0,66.0
165.0,58.0
43.0,18.0
113.0,32.0
152.0,55.0
88.0,32.0
27.0,21.0
178.0,76.0
141.0,64.0
169.0,55.0
152.0,64.0
177.0,76.0
114.0,43.0
71.0,44.0
74.0,39.0
146.0,65.0
38.0,25.0
77.0,34.0
59.0,21.0
83.0,32.0
198.0,54.0
166.0,52.0
87.0,27.0
64.0,22.0
255.0,79.0
149.0,54.0
155.0,74.0
261.0,77.0
82.0,42.0
368.0,164.0
72.0,28.0
60.0,27.0
93.0,36.0
58.0,46.0
129.0,49.0
118.0,145.0
59.0,22.0
57.0,18.0
50.0,17.0
71.0,23.0
80.0,39.0
200.0,103.0
80.0,21.0
53.0,15.0
112.0,67.0
48.0,24.0
55.0,17.0
57.0,18.0
146.0,57.0
161.0,50.0
188.0,99.0
82.0,28.0
125.0,74.0
110.0,62.0
129.0,49.0
135.0,59.0
50.0,13.0
32.0,34.0
98.0,56.0
123.0,53.0
44.0,17.0
249.0,125.0
67.0,20.0
47.0,24.0
57.0,22.0
76.0,22.0
60.0,23.0
64.0,26.0
99.0,46.0
155.0,64.0
556.0,192.0
514.0,217.0
137.0,68.0
77.0,28.0
135.0,89.0
66.0,24.0
178.0,50.0
370.0,181.0
56.0,21.0
64.0,28.0
63.0,25.0
60.0,20.0
51.0,24.0
127.0,29.0
118.0,68.0
62.0,28.0
36.0,27.0
75.0,29.0
46.0,32.0
98.0,69.0
281.0,96.0
122.0,67.0
43.0,14.0
386.0,130.0
76.0,31.0
124.0,55.0
50.0,18.0
41.0,18.0
116.0,37.0
79.0,31.0
46.0,20.0
146.0,39.0
68.0,27.0
121.0,43.0
157.0,74.0
111.0,34.0
123.0,26.0
109.0,27.0
177.0,79.0
101.0,37.0
165.0,89.0
137.0,43.0
196.0,103.0
219.0,193.0
123.0,41.0
91.0,28.0
131.0,39.0
114.0,43.0
95.0,29.0
125.0,34.0
30.0,20.0
24.0,12.0
155.0,59.0
127.0,45.0
93.0,33.0
252.0,81.0
132.0,59.0
120.0,39.0
27.0,27.0
73.0,37.0
106.0,52.0
178.0,64.0
83.0,28.0
57.0,23.0
69.0,19.0
82.0,19.0
221.0,76.0
36.0,11.0
101.0,41.0
72.0,51.0
109.0,43.0
75.0,24.0
69.0,22.0
67.0,18.0
58.0,21.0
75.0,29.0
47.0,21.0
85.0,115.0
155.0,65.0
49.0,20.0
43.0,9.0
35.0,14.0
75.0,34.0
158.0,96.0
29.0,31.0
42.0,21.0
79.0,44.0
53.0,25.0
194.0,59.0
119.0,57.0
127.0,46.0
66.0,42.0
44.0,23.0
50.0,19.0
57.0,19.0
62.0,23.0
248.0,95.0
64.0,31.0
80.0,52.0
44.0,21.0
90.0,20.0
80.0,22.0
99.0,25.0
122.0,28.0
92.0,31.0
103.0,39.0
154.0,134.0
300.0,106.0
113.0,51.0
86.0,27.0
52.0,28.0
50.0,30.0
99.0,32.0
68.0,24.0
126.0,28.0
222.0,111.0
59.0,32.0
56.0,25.0
192.0,54.0
181.0,77.0
128.0,54.0
352.0,126.0
71.0,26.0
61.0,24.0
210.0,75.0
215.0,77.0
66.0,21.0
57.0,22.0
35.0,18.0
178.0,52.0
327.0,103.0
201.0,72.0
130.0,71.0
34.0,14.0
27.0,13.0
31.0,13.0
39.0,16.0
42.0,21.0
195.0,52.0
35.0,16.0
212.0,74.0
140.0,85.0
270.0,79.0
58.0,28.0
62.0,36.0
110.0,32.0
227.0,94.0
187.0,71.0
145.0,39.0
146.0,45.0
21.0,19.0
27.0,20.0
60.0,19.0
68.0,26.0
92.0,29.0
49.0,21.0
32.0,12.0
249.0,132.0
129.0,132.0
195.0,85.0
150.0,53.0
64.0,17.0
37.0,14.0
90.0,43.0
78.0,49.0
152.0,41.0
161.0,59.0
67.0,37.0
37.0,13.0
73.0,16.0
44.0,36.0
221.0,80.0
140.0,44.0
64.0,28.0
61.0,81.0
83.0,25.0
113.0,37.0
99.0,36.0
123.0,37.0
76.0,16.0
126.0,48.0
234.0,104.0
45.0,14.0
137.0,63.0
54.0,15.0
141.0,43.0
219.0,69.0
217.0,43.0
169.0,87.0
143.0,46.0
59.0,21.0
76.0,19.0
94.0,36.0
140.0,41.0
148.0,32.0
49.0,14.0
71.0,37.0
132.0,52.0
160.0,77.0
149.0,82.0
79.0,38.0
58.0,20.0
59.0,30.0
129.0,41.0
101.0,48.0
64.0,18.0
126.0,52.0
112.0,44.0
79.0,25.0
69.0,26.0
60.0,18.0
186.0,44.0
69.0,25.0
100.0,42.0
72.0,32.0
147.0,145.0
148.0,60.0
64.0,24.0
149.0,68.0
64.0,25.0
205.0,67.0
286.0,133.0
