Category,Width,Height
Adult,125,196
Adult,103,179
Adult,41,109
Adult,45,141
Adult,146,296
Adult,26,86
Adult,68,179
Adult,53,168
Child,39,145
Adult,73,182
Adult,35,114
Adult,43,138
Adult,94,260
Adult,72,178
Adult,37,126
Adult,39,104
Adult,106,308
Adult,73,220
Adult,87,185
Adult,98,204
Adult,47,144
Adult,65,161
Adult,34,107
Adult,70,180
Adult,57,153
Adult,43,116
Adult,53,128
Adult,70,197
Adult,71,157
Adult,51,139
Adult,56,130
Adult,86,176
Adult,92,223
Adult,133,428
Child,62,211
Adult,122,285
Adult,71,160
Adult,54,141
Adult,123,310
Adult,24,77
Adult,71,134
Adult,69,156
Adult,56,119
Adult,64,161
Adult,177,315
Adult,71,190
Adult,199,362
Adult,63,154
Adult,94,196
Adult,78,141
Adult,59,147
Adult,28,83
Adult,53,175
Adult,84,172
Adult,31,100
Adult,66,206
Adult,29,91
Adult,56,154
Adult,152,331
Adult,66,185
Adult,28,82
Adult,68,166
Adult,45,129
Adult,54,176
Adult,93,252
Adult,77,208
Adult,56,140
Adult,125,272
Adult,51,191
Adult,124,276
Adult,51,97
Adult,138,409
Adult,57,144
Child,52,126
Adult,47,104
Adult,117,295
Adult,122,304
Adult,28,83
Adult,69,164
Adult,48,119
Child,27,68
Adult,56,162
Adult,33,81
Adult,48,122
Adult,144,368
Adult,37,124
Adult,46,88
Adult,34,100
Adult,33,128
Adult,25,82
Adult,38,140
Adult,103,245
Adult,112,260
Adult,142,313
Adult,28,70
Adult,75,250
Adult,176,370
Adult,123,265
Adult,38,90
Adult,88,201
Adult,158,265
Adult,110,211
Adult,86,216
Adult,39,168
Adult,79,208
Adult,45,136
Adult,27,100
Adult,88,260
Adult,95,205
Adult,36,100
Adult,60,196
Adult,115,229
Adult,75,297
Adult,102,211
Adult,56,151
Adult,56,170
Adult,29,91
Adult,71,201
Adult,148,302
Adult,68,164
Adult,51,137
Adult,46,144
Adult,52,156
Adult,96,218
Adult,86,179
Adult,69,166
Adult,86,229
Adult,60,155
Adult,51,173
Adult,45,143
Adult,86,214
Adult,62,128
Adult,109,266
Adult,24,95
Adult,62,157
Adult,71,161
Adult,28,66
Adult,54,129
Adult,157,305
Adult,55,159
Adult,34,96
Adult,35,91
Adult,41,100
Adult,39,92
Adult,89,228
Adult,60,130
Adult,61,163
Adult,41,138
Adult,25,81
Adult,49,117
Adult,126,345
Adult,69,171
Adult,68,192
Adult,68,153
Adult,54,164
Child,102,177
Adult,35,111
Adult,100,279
Adult,76,222
Adult,41,109
Adult,38,105
Adult,87,281
Adult,38,107
Adult,39,85
Adult,67,155
Adult,27,104
Adult,64,150
Adult,113,253
Adult,51,185
Adult,56,165
Adult,98,260
Adult,120,248
Adult,34,90
Adult,64,153
Adult,33,102
Adult,70,184
Adult,91,170
Adult,61,152
Adult,61,180
Adult,65,161
Adult,140,238
Adult,48,124
Adult,24,98
Adult,75,271
Adult,63,188
Adult,87,312
Adult,60,142
Adult,206,356
Adult,84,322
Adult,78,180
Adult,30,88
Adult,90,210
Adult,70,182
Adult,52,178
Adult,92,150
Adult,64,196
Adult,40,172
Adult,53,124
Adult,39,87
Adult,37,94
Adult,147,252
Adult,170,386
Adult,88,176
Adult,22,80
Adult,61,127
Adult,70,179
Adult,49,165
Adult,49,134
Adult,59,193
Adult,83,161
Adult,93,324
Adult,48,130
Adult,126,314
Adult,74,210
Adult,36,89
Adult,27,89
Adult,29,98
Adult,78,206
Adult,25,102
Adult,29,68
Adult,68,208
Adult,62,204
Adult,75,192
Adult,104,259
Adult,54,173
Adult,44,127
Adult,113,278
Adult,55,217
Adult,125,204
Adult,64,226
Adult,70,179
Adult,37,86
Adult,43,102
Adult,43,163
Adult,60,143
Adult,49,124
Adult,47,127
Adult,71,179
Adult,81,170
Adult,59,146
Adult,77,161
Adult,54,100
Adult,71,168
Adult,69,149
Adult,72,158
Adult,68,190
Adult,96,190
Adult,55,149
Adult,135,291
Adult,54,189
Adult,105,229
Adult,65,172
Adult,48,155
Adult,53,160
Adult,110,301
Adult,73,152
Adult,154,252
Adult,32,90
Adult,40,81
Adult,28,74
Adult,91,199
Adult,88,184
Adult,102,261
Adult,44,91
Adult,61,174
Adult,78,178
Adult,50,147
Adult,31,87
Adult,28,83
Adult,184,274
Adult,115,345
Adult,43,126
Child,52,106
Adult,91,258
