Category,Height,Width
Adult,125.0,196.0
Adult,103.0,179.0
Adult,41.0,109.0
Adult,45.0,141.0
Adult,146.0,296.0
Adult,26.0,86.0
Adult,68.0,179.0
Adult,53.0,168.0
Child,39.0,145.0
Adult,73.0,182.0
Adult,35.0,114.0
Adult,43.0,138.0
Adult,94.0,260.0
Adult,72.0,178.0
Adult,37.0,126.0
Adult,39.0,104.0
Adult,106.0,308.0
Adult,73.0,220.0
Adult,87.0,185.0
Adult,98.0,204.0
Adult,47.0,144.0
Adult,65.0,161.0
Adult,34.0,107.0
Adult,70.0,180.0
Adult,57.0,153.0
Adult,43.0,116.0
Adult,53.0,128.0
Adult,70.0,197.0
Adult,71.0,157.0
Adult,51.0,139.0
Adult,56.0,130.0
Adult,86.0,176.0
Adult,92.0,223.0
Adult,133.0,428.0
Child,62.0,211.0
Adult,122.0,285.0
Adult,71.0,160.0
Adult,54.0,141.0
Adult,123.0,310.0
Adult,24.0,77.0
Adult,71.0,134.0
Adult,69.0,156.0
Adult,56.0,119.0
Adult,64.0,161.0
Adult,177.0,315.0
Adult,71.0,190.0
Adult,199.0,362.0
Adult,63.0,154.0
Adult,94.0,196.0
Adult,78.0,141.0
Adult,59.0,147.0
Adult,28.0,83.0
Adult,53.0,175.0
Adult,84.0,172.0
Adult,31.0,100.0
Adult,66.0,206.0
Adult,29.0,91.0
Adult,56.0,154.0
Adult,152.0,331.0
Adult,66.0,185.0
Adult,28.0,82.0
Adult,68.0,166.0
Adult,45.0,129.0
Adult,54.0,176.0
Adult,93.0,252.0
Adult,77.0,208.0
Adult,56.0,140.0
Adult,125.0,272.0
Adult,51.0,191.0
Adult,124.0,276.0
Adult,51.0,97.0
Adult,138.0,409.0
Adult,57.0,144.0
Child,52.0,126.0
Adult,47.0,104.0
Adult,117.0,295.0
Adult,122.0,304.0
Adult,28.0,83.0
Adult,69.0,164.0
Adult,48.0,119.0
Child,27.0,68.0
Adult,56.0,162.0
Adult,33.0,81.0
Adult,48.0,122.0
Adult,144.0,368.0
Adult,37.0,124.0
Adult,46.0,88.0
Adult,34.0,100.0
Adult,33.0,128.0
Adult,25.0,82.0
Adult,38.0,140.0
Adult,103.0,245.0
Adult,112.0,260.0
Adult,142.0,313.0
Adult,28.0,70.0
Adult,75.0,250.0
Adult,176.0,370.0
Adult,123.0,265.0
Adult,38.0,90.0
Adult,88.0,201.0
Adult,158.0,265.0
Adult,110.0,211.0
Adult,86.0,216.0
Adult,39.0,168.0
Adult,79.0,208.0
Adult,45.0,136.0
Adult,27.0,100.0
Adult,88.0,260.0
Adult,95.0,205.0
Adult,36.0,100.0
Adult,60.0,196.0
Adult,115.0,229.0
Adult,75.0,297.0
Adult,102.0,211.0
Adult,56.0,151.0
Adult,56.0,170.0
Adult,29.0,91.0
Adult,71.0,201.0
Adult,148.0,302.0
Adult,68.0,164.0
Adult,51.0,137.0
Adult,46.0,144.0
Adult,52.0,156.0
Adult,96.0,218.0
Adult,86.0,179.0
Adult,69.0,166.0
Adult,86.0,229.0
Adult,60.0,155.0
Adult,51.0,173.0
Adult,45.0,143.0
Adult,86.0,214.0
Adult,62.0,128.0
Adult,109.0,266.0
Adult,24.0,95.0
Adult,62.0,157.0
Adult,71.0,161.0
Adult,28.0,66.0
Adult,54.0,129.0
Adult,157.0,305.0
Adult,55.0,159.0
Adult,34.0,96.0
Adult,35.0,91.0
Adult,41.0,100.0
Adult,39.0,92.0
Adult,89.0,228.0
Adult,60.0,130.0
Adult,61.0,163.0
Adult,41.0,138.0
Adult,25.0,81.0
Adult,49.0,117.0
Adult,126.0,345.0
Adult,69.0,171.0
Adult,68.0,192.0
Adult,68.0,153.0
Adult,54.0,164.0
Child,102.0,177.0
Adult,35.0,111.0
Adult,100.0,279.0
Adult,76.0,222.0
Adult,41.0,109.0
Adult,38.0,105.0
Adult,87.0,281.0
Adult,38.0,107.0
Adult,39.0,85.0
Adult,67.0,155.0
Adult,27.0,104.0
Adult,64.0,150.0
Adult,113.0,253.0
Adult,51.0,185.0
Adult,56.0,165.0
Adult,98.0,260.0
Adult,120.0,248.0
Adult,34.0,90.0
Adult,64.0,153.0
Adult,33.0,102.0
Adult,70.0,184.0
Adult,91.0,170.0
Adult,61.0,152.0
Adult,61.0,180.0
Adult,65.0,161.0
Adult,140.0,238.0
Adult,48.0,124.0
Adult,24.0,98.0
Adult,75.0,271.0
Adult,63.0,188.0
Adult,87.0,312.0
Adult,60.0,142.0
Adult,206.0,356.0
Adult,84.0,322.0
Adult,78.0,180.0
Adult,30.0,88.0
Adult,90.0,210.0
Adult,70.0,182.0
Adult,52.0,178.0
Adult,92.0,150.0
Adult,64.0,196.0
Adult,40.0,172.0
Adult,53.0,124.0
Adult,39.0,87.0
Adult,37.0,94.0
Adult,147.0,252.0
Adult,170.0,386.0
Adult,88.0,176.0
Adult,22.0,80.0
Adult,61.0,127.0
Adult,70.0,179.0
Adult,49.0,165.0
Adult,49.0,134.0
Adult,59.0,193.0
Adult,83.0,161.0
Adult,93.0,324.0
Adult,48.0,130.0
Adult,126.0,314.0
Adult,74.0,210.0
Adult,36.0,89.0
Adult,27.0,89.0
Adult,29.0,98.0
Adult,78.0,206.0
Adult,25.0,102.0
Adult,29.0,68.0
Adult,68.0,208.0
Adult,62.0,204.0
Adult,75.0,192.0
Adult,104.0,259.0
Adult,54.0,173.0
Adult,44.0,127.0
Adult,113.0,278.0
Adult,55.0,217.0
Adult,125.0,204.0
Adult,64.0,226.0
Adult,70.0,179.0
Adult,37.0,86.0
Adult,43.0,102.0
Adult,43.0,163.0
Adult,60.0,143.0
Adult,49.0,124.0
Adult,47.0,127.0
Adult,71.0,179.0
Adult,81.0,170.0
Adult,59.0,146.0
Adult,77.0,161.0
Adult,54.0,100.0
Adult,71.0,168.0
Adult,69.0,149.0
Adult,72.0,158.0
Adult,68.0,190.0
Adult,96.0,190.0
Adult,55.0,149.0
Adult,135.0,291.0
Adult,54.0,189.0
Adult,105.0,229.0
Adult,65.0,172.0
Adult,48.0,155.0
Adult,53.0,160.0
Adult,110.0,301.0
Adult,73.0,152.0
Adult,154.0,252.0
Adult,32.0,90.0
Adult,40.0,81.0
Adult,28.0,74.0
Adult,91.0,199.0
Adult,88.0,184.0
Adult,102.0,261.0
Adult,44.0,91.0
Adult,61.0,174.0
Adult,78.0,178.0
Adult,50.0,147.0
Adult,31.0,87.0
Adult,28.0,83.0
Adult,184.0,274.0
Adult,115.0,345.0
Adult,43.0,126.0
Child,52.0,106.0
Adult,91.0,258.0
Adult,66.0,166.0
Adult,55.0,176.0
Adult,102.0,280.0
Adult,70.0,161.0
Adult,71.0,201.0
Child,51.0,113.0
Adult,29.0,74.0
Adult,94.0,251.0
Adult,47.0,117.0
Adult,68.0,236.0
Adult,35.0,130.0
Adult,71.0,184.0
Adult,94.0,224.0
Adult,41.0,170.0
Adult,75.0,242.0
Adult,49.0,143.0
Adult,73.0,173.0
Adult,81.0,191.0
Adult,104.0,237.0
Adult,65.0,226.0
Adult,44.0,90.0
Adult,76.0,268.0
Adult,42.0,127.0
Adult,153.0,348.0
Adult,32.0,133.0
Adult,60.0,187.0
Adult,32.0,90.0
Adult,26.0,81.0
Adult,54.0,166.0
Adult,59.0,178.0
Adult,59.0,174.0
Adult,42.0,114.0
Adult,86.0,286.0
Adult,97.0,212.0
Adult,67.0,157.0
Adult,62.0,174.0
Adult,50.0,125.0
Adult,78.0,181.0
Adult,36.0,123.0
Adult,59.0,178.0
Adult,62.0,152.0
Adult,54.0,194.0
Adult,69.0,136.0
Adult,54.0,194.0
Adult,44.0,125.0
Adult,94.0,194.0
Adult,36.0,92.0
Adult,59.0,150.0
Adult,32.0,80.0
Adult,64.0,175.0
Adult,75.0,160.0
Adult,66.0,191.0
Adult,94.0,202.0
Adult,63.0,142.0
Adult,33.0,86.0
Adult,22.0,102.0
Adult,102.0,181.0
Adult,33.0,102.0
Adult,79.0,222.0
Adult,47.0,158.0
Adult,65.0,184.0
Adult,38.0,104.0
Adult,76.0,192.0
Adult,92.0,366.0
Adult,55.0,91.0
Adult,99.0,247.0
Adult,61.0,157.0
Adult,36.0,82.0
Adult,37.0,93.0
Adult,58.0,160.0
Adult,76.0,170.0
Adult,43.0,123.0
Adult,51.0,161.0
Adult,46.0,122.0
Adult,105.0,296.0
Adult,137.0,266.0
Adult,118.0,275.0
Adult,65.0,167.0
Adult,89.0,216.0
Adult,42.0,146.0
Adult,25.0,80.0
Adult,70.0,240.0
Adult,67.0,192.0
Adult,34.0,89.0
Adult,59.0,180.0
Adult,72.0,159.0
Adult,121.0,417.0
Adult,47.0,136.0
Adult,81.0,214.0
Adult,84.0,157.0
Adult,41.0,110.0
Adult,41.0,123.0
Adult,40.0,108.0
Adult,57.0,137.0
Adult,59.0,150.0
Adult,53.0,186.0
Adult,32.0,80.0
Adult,64.0,143.0
Adult,34.0,100.0
Adult,42.0,157.0
Adult,87.0,209.0
Child,28.0,75.0
Adult,35.0,93.0
Adult,59.0,175.0
Adult,81.0,199.0
Adult,57.0,201.0
Adult,98.0,258.0
Adult,80.0,298.0
Adult,156.0,277.0
Adult,60.0,149.0
Adult,49.0,140.0
Adult,35.0,100.0
Adult,84.0,229.0
Adult,273.0,411.0
Adult,68.0,155.0
Adult,48.0,109.0
Adult,51.0,160.0
Adult,72.0,178.0
Adult,90.0,294.0
Adult,68.0,184.0
Adult,74.0,160.0
Adult,125.0,289.0
Adult,102.0,274.0
