Category,Height,Width
Adult,29.0,91.0
Adult,44.0,110.0
Adult,60.0,180.0
Adult,31.0,71.0
Adult,41.0,98.0
Adult,43.0,94.0
Adult,57.0,170.0
Adult,64.0,115.0
Adult,25.0,75.0
Adult,22.0,65.0
Adult,86.0,220.0
Adult,29.0,98.0
Adult,32.0,100.0
Adult,49.0,132.0
Adult,35.0,76.0
Adult,79.0,198.0
Adult,56.0,164.0
Adult,29.0,73.0
Adult,22.0,87.0
Adult,28.0,92.0
Adult,55.0,121.0
Child,60.0,118.0
Adult,130.0,275.0
Adult,54.0,117.0
Adult,38.0,143.0
Adult,74.0,153.0
Adult,116.0,309.0
Adult,64.0,218.0
Adult,78.0,292.0
Adult,64.0,175.0
Adult,142.0,299.0
Adult,58.0,134.0
Adult,36.0,95.0
Adult,121.0,422.0
Adult,86.0,230.0
Adult,24.0,67.0
Adult,69.0,208.0
Adult,21.0,74.0
Adult,146.0,363.0
Adult,103.0,263.0
Adult,103.0,239.0
Adult,35.0,107.0
Adult,43.0,91.0
Adult,70.0,170.0
Adult,33.0,102.0
Adult,110.0,402.0
Adult,47.0,153.0
Adult,81.0,195.0
Adult,35.0,125.0
Adult,36.0,124.0
Adult,27.0,103.0
Adult,36.0,94.0
Adult,94.0,265.0
Adult,32.0,108.0
Adult,35.0,111.0
Adult,25.0,66.0
Adult,143.0,308.0
Adult,180.0,515.0
Adult,61.0,204.0
Adult,46.0,116.0
Adult,85.0,198.0
Adult,36.0,67.0
Adult,32.0,86.0
Adult,32.0,83.0
Adult,69.0,183.0
Adult,47.0,133.0
Adult,99.0,345.0
Adult,85.0,149.0
Adult,51.0,106.0
Adult,149.0,372.0
Adult,26.0,71.0
Adult,38.0,118.0
Adult,29.0,66.0
Adult,68.0,192.0
Adult,33.0,137.0
Adult,57.0,165.0
Adult,24.0,76.0
Adult,125.0,359.0
Adult,41.0,115.0
Adult,107.0,288.0
Child,81.0,153.0
Adult,51.0,181.0
Adult,49.0,123.0
