Category,Height,Width
Adult,37.0,145.0
Adult,40.0,107.0
Adult,102.0,269.0
Adult,73.0,219.0
Adult,36.0,147.0
Adult,39.0,116.0
Adult,93.0,211.0
Adult,64.0,148.0
Adult,50.0,208.0
Adult,79.0,251.0
Adult,20.0,69.0
Adult,100.0,274.0
Adult,37.0,130.0
Adult,51.0,120.0
Adult,125.0,267.0
Adult,28.0,81.0
Adult,73.0,211.0
Adult,63.0,136.0
Adult,37.0,70.0
Adult,96.0,262.0
Adult,23.0,68.0
Adult,48.0,112.0
Adult,57.0,202.0
Adult,22.0,70.0
Adult,91.0,270.0
Adult,27.0,102.0
Adult,36.0,112.0
Adult,27.0,94.0
Adult,239.0,483.0
Adult,93.0,296.0
Child,59.0,211.0
Adult,34.0,84.0
Adult,42.0,80.0
Adult,32.0,82.0
Adult,233.0,406.0
Adult,23.0,69.0
Adult,33.0,104.0
Adult,41.0,116.0
Adult,39.0,124.0
Adult,83.0,214.0
Adult,89.0,248.0
Adult,60.0,214.0
Adult,38.0,87.0
Adult,55.0,160.0
Adult,106.0,312.0
Adult,44.0,104.0
Adult,74.0,175.0
Adult,64.0,211.0
Adult,28.0,78.0
Adult,76.0,197.0
Adult,50.0,151.0
Adult,27.0,71.0
Adult,87.0,208.0
Adult,113.0,238.0
Adult,57.0,139.0
Adult,34.0,96.0
Adult,31.0,100.0
Adult,68.0,185.0
Adult,45.0,109.0
Adult,34.0,74.0
Adult,61.0,164.0
Adult,51.0,169.0
Adult,44.0,107.0
Adult,106.0,331.0
Adult,34.0,100.0
Adult,98.0,234.0
Adult,75.0,226.0
Adult,48.0,191.0
Adult,20.0,67.0
Adult,36.0,88.0
Adult,63.0,142.0
Adult,132.0,349.0
Adult,189.0,329.0
Adult,87.0,263.0
Adult,46.0,131.0
Adult,24.0,68.0
Adult,67.0,168.0
Adult,50.0,125.0
Adult,51.0,155.0
Adult,81.0,246.0
Adult,65.0,204.0
Adult,35.0,127.0
Adult,32.0,91.0
Adult,35.0,112.0
Adult,23.0,86.0
Adult,52.0,167.0
Adult,27.0,76.0
Adult,28.0,104.0
Adult,77.0,254.0
Adult,86.0,230.0
Adult,38.0,121.0
Adult,71.0,217.0
Adult,27.0,105.0
Adult,33.0,109.0
Adult,68.0,145.0
Adult,46.0,126.0
Adult,31.0,77.0
Adult,99.0,363.0
Adult,34.0,90.0
Adult,31.0,95.0
Adult,38.0,78.0
Adult,222.0,453.0
Adult,26.0,82.0
Adult,38.0,103.0
Adult,51.0,156.0
Adult,34.0,107.0
Adult,63.0,142.0
Adult,172.0,302.0
Adult,97.0,347.0
Adult,90.0,230.0
Adult,52.0,131.0
Adult,36.0,113.0
Adult,33.0,81.0
Adult,49.0,140.0
Adult,54.0,146.0
Adult,90.0,182.0
Adult,64.0,196.0
Adult,111.0,260.0
Adult,43.0,163.0
Adult,41.0,86.0
Adult,87.0,228.0
Adult,52.0,192.0
Adult,69.0,265.0
Adult,55.0,114.0
Adult,47.0,120.0
Adult,229.0,409.0
Adult,28.0,77.0
Adult,94.0,276.0
Adult,27.0,89.0
Adult,90.0,221.0
Adult,33.0,101.0
Adult,34.0,86.0
Adult,42.0,152.0
Adult,27.0,99.0
Adult,33.0,68.0
Adult,30.0,82.0
Adult,40.0,119.0
Adult,37.0,103.0
Adult,76.0,177.0
Adult,29.0,92.0
Adult,33.0,102.0
Adult,28.0,100.0
Adult,36.0,135.0
Adult,58.0,153.0
Adult,84.0,171.0
Adult,93.0,262.0
Adult,134.0,259.0
Adult,123.0,386.0
Adult,46.0,135.0
Adult,37.0,129.0
Adult,34.0,102.0
Adult,102.0,304.0
Adult,43.0,120.0
Adult,110.0,241.0
Adult,22.0,85.0
Adult,82.0,247.0
Adult,61.0,141.0
Adult,27.0,76.0
Adult,70.0,151.0
Adult,69.0,206.0
Adult,38.0,82.0
Adult,166.0,414.0
Adult,87.0,283.0
Adult,21.0,75.0
Adult,36.0,101.0
Adult,27.0,73.0
Adult,135.0,232.0
Adult,45.0,146.0
Adult,39.0,97.0
Adult,48.0,164.0
Adult,34.0,107.0
Adult,31.0,97.0
Adult,45.0,139.0
Adult,44.0,110.0
Adult,206.0,547.0
Adult,64.0,169.0
Adult,45.0,87.0
Adult,52.0,143.0
Adult,52.0,145.0
Adult,33.0,85.0
Adult,142.0,388.0
Adult,53.0,138.0
Adult,152.0,465.0
Adult,45.0,116.0
Adult,46.0,144.0
Adult,34.0,91.0
Adult,27.0,103.0
Adult,40.0,139.0
Adult,27.0,92.0
Adult,99.0,366.0
Adult,61.0,220.0
Adult,76.0,238.0
Adult,49.0,109.0
Adult,66.0,137.0
Adult,38.0,90.0
Adult,87.0,195.0
Adult,46.0,160.0
Adult,36.0,107.0
Adult,43.0,139.0
Adult,49.0,160.0
Adult,28.0,96.0
Adult,126.0,263.0
Adult,34.0,91.0
Adult,31.0,95.0
Adult,24.0,76.0
Adult,27.0,105.0
Adult,51.0,177.0
Adult,23.0,65.0
Adult,151.0,252.0
Adult,61.0,142.0
Adult,80.0,177.0
Adult,37.0,77.0
Adult,22.0,67.0
Adult,75.0,314.0
Adult,82.0,181.0
Adult,172.0,436.0
Adult,109.0,221.0
Adult,83.0,208.0
Adult,109.0,301.0
Adult,148.0,452.0
Adult,71.0,223.0
Adult,51.0,165.0
Adult,24.0,76.0
Adult,95.0,299.0
Adult,29.0,70.0
Adult,160.0,533.0
Adult,41.0,119.0
Adult,54.0,141.0
Adult,64.0,211.0
Adult,46.0,155.0
Adult,58.0,221.0
Adult,32.0,94.0
Adult,69.0,209.0
Adult,48.0,127.0
Adult,103.0,294.0
Adult,137.0,345.0
Adult,83.0,200.0
Adult,44.0,123.0
Adult,52.0,115.0
Adult,26.0,69.0
Adult,82.0,194.0
Child,50.0,139.0
Adult,38.0,118.0
Adult,53.0,122.0
Adult,22.0,65.0
Adult,114.0,244.0
Adult,42.0,135.0
Adult,79.0,234.0
Adult,57.0,165.0
Adult,57.0,162.0
Adult,130.0,430.0
Adult,70.0,251.0
Adult,127.0,206.0
Adult,112.0,377.0
Adult,34.0,135.0
Adult,51.0,202.0
Adult,42.0,124.0
Adult,47.0,136.0
Adult,102.0,272.0
Adult,128.0,313.0
Adult,78.0,295.0
Adult,23.0,87.0
Adult,34.0,90.0
Adult,37.0,141.0
Adult,49.0,162.0
Adult,45.0,124.0
Adult,32.0,76.0
Adult,43.0,153.0
Adult,85.0,283.0
Adult,33.0,100.0
Adult,55.0,150.0
Adult,81.0,226.0
Adult,162.0,509.0
Adult,70.0,232.0
Adult,39.0,152.0
Adult,42.0,83.0
Adult,28.0,93.0
Adult,28.0,75.0
Adult,56.0,160.0
Adult,20.0,72.0
Adult,64.0,173.0
Adult,108.0,272.0
Adult,51.0,194.0
Adult,35.0,94.0
Adult,44.0,97.0
Adult,41.0,98.0
Adult,74.0,204.0
Adult,82.0,212.0
Adult,95.0,276.0
Adult,49.0,110.0
Adult,37.0,121.0
Adult,35.0,86.0
Adult,51.0,129.0
Adult,29.0,93.0
Adult,39.0,123.0
Adult,72.0,281.0
Adult,23.0,91.0
Adult,57.0,164.0
Adult,24.0,71.0
Adult,40.0,123.0
Adult,109.0,401.0
Adult,37.0,95.0
Adult,52.0,153.0
Adult,64.0,183.0
Adult,219.0,464.0
Adult,24.0,66.0
Adult,57.0,126.0
Adult,36.0,76.0
Adult,64.0,196.0
Adult,24.0,86.0
Adult,25.0,89.0
Adult,42.0,109.0
Adult,38.0,110.0
Adult,131.0,397.0
Adult,63.0,144.0
Adult,39.0,91.0
Adult,46.0,76.0
Adult,35.0,107.0
Adult,42.0,133.0
Adult,75.0,142.0
Adult,85.0,215.0
Adult,74.0,217.0
Adult,59.0,160.0
Adult,50.0,135.0
Adult,85.0,185.0
Adult,61.0,164.0
Adult,116.0,345.0
Adult,47.0,137.0
Adult,126.0,297.0
Adult,26.0,66.0
Adult,43.0,98.0
Adult,27.0,76.0
Adult,25.0,82.0
Adult,34.0,121.0
Adult,40.0,114.0
Adult,49.0,139.0
Adult,40.0,103.0
Adult,55.0,109.0
Adult,39.0,146.0
Adult,185.0,453.0
Adult,88.0,332.0
Adult,62.0,126.0
Adult,106.0,291.0
Adult,100.0,244.0
Adult,32.0,96.0
Adult,45.0,187.0
Adult,47.0,121.0
Adult,172.0,279.0
Adult,29.0,67.0
Adult,57.0,149.0
Adult,46.0,146.0
Adult,45.0,146.0
Adult,49.0,133.0
Adult,70.0,174.0
Adult,34.0,102.0
Adult,57.0,128.0
Adult,64.0,189.0
Adult,39.0,146.0
Adult,129.0,299.0
Adult,38.0,134.0
Adult,46.0,122.0
Adult,113.0,316.0
Adult,65.0,212.0
Adult,41.0,130.0
Adult,45.0,119.0
Adult,82.0,309.0
Adult,37.0,114.0
Adult,79.0,218.0
Adult,23.0,77.0
Adult,106.0,285.0
Adult,89.0,203.0
Adult,46.0,117.0
Adult,33.0,89.0
Adult,63.0,172.0
Adult,59.0,166.0
Adult,136.0,238.0
Adult,35.0,109.0
Adult,99.0,285.0
Adult,63.0,154.0
Adult,55.0,127.0
Adult,51.0,110.0
Adult,72.0,221.0
Adult,35.0,108.0
Adult,67.0,173.0
Adult,38.0,93.0
Adult,65.0,201.0
Adult,164.0,331.0
Adult,70.0,191.0
Adult,33.0,75.0
