Category,Height,Width
Adult,88.0,227.0
Adult,31.0,84.0
Adult,46.0,111.0
Adult,84.0,188.0
Adult,66.0,162.0
Adult,141.0,427.0
Adult,173.0,481.0
Adult,101.0,202.0
Adult,94.0,252.0
Adult,67.0,240.0
Adult,38.0,124.0
Adult,135.0,350.0
Adult,117.0,207.0
Adult,54.0,155.0
Adult,34.0,104.0
Adult,41.0,127.0
Adult,32.0,88.0
Adult,42.0,154.0
Adult,65.0,163.0
Adult,143.0,300.0
Adult,97.0,276.0
Adult,76.0,223.0
Adult,59.0,175.0
Adult,36.0,95.0
Adult,82.0,175.0
Adult,63.0,160.0
Adult,31.0,95.0
Adult,102.0,251.0
Adult,72.0,224.0
Adult,38.0,91.0
Adult,23.0,85.0
Adult,24.0,56.0
Adult,87.0,260.0
Adult,113.0,370.0
Adult,35.0,128.0
Adult,70.0,153.0
Adult,24.0,78.0
Adult,150.0,474.0
Adult,56.0,206.0
Adult,51.0,163.0
Adult,58.0,224.0
Adult,16.0,63.0
Adult,35.0,86.0
Adult,124.0,190.0
Adult,53.0,166.0
Adult,46.0,147.0
Adult,57.0,123.0
Adult,51.0,155.0
Adult,17.0,64.0
Adult,46.0,97.0
Adult,62.0,172.0
Adult,23.0,99.0
Adult,49.0,123.0
Adult,27.0,89.0
Adult,126.0,321.0
Adult,111.0,270.0
Adult,33.0,107.0
Adult,32.0,69.0
Adult,75.0,181.0
Adult,55.0,161.0
Adult,57.0,169.0
Adult,86.0,210.0
Adult,45.0,108.0
Adult,68.0,173.0
Adult,64.0,150.0
Adult,169.0,448.0
Adult,70.0,221.0
Adult,32.0,72.0
Adult,57.0,136.0
Adult,72.0,158.0
Adult,110.0,310.0
Adult,41.0,126.0
Adult,40.0,113.0
Adult,42.0,151.0
Adult,37.0,94.0
Adult,56.0,125.0
Adult,149.0,385.0
Adult,111.0,346.0
Adult,62.0,149.0
Adult,100.0,302.0
Adult,151.0,434.0
Adult,37.0,101.0
Adult,77.0,194.0
Adult,64.0,181.0
Adult,57.0,164.0
