Category,Width,Height
Adult,50,157
Adult,76,186
Adult,70,129
Adult,34,115
Adult,24,110
Adult,51,170
Child,29,172
Child,23,51
Child,42,188
Adult,77,208
Adult,27,90
Child,80,221
Child,20,90
Adult,37,86
Adult,42,90
Adult,63,110
Adult,80,195
Adult,27,96
Adult,29,87
Adult,137,209
Child,31,92
Adult,35,125
Adult,112,294
Child,20,27
Adult,32,84
Adult,92,304
Child,31,29
Adult,48,176
Child,26,27
Adult,24,80
Adult,81,213
Adult,39,116
Adult,47,236
Adult,39,177
Child,49,66
Adult,60,172
Adult,52,125
Adult,40,129
Adult,24,103
Adult,52,112
Adult,80,251
Adult,49,170
Adult,59,222
Adult,24,83
Adult,37,135
Adult,32,131
Child,27,36
Adult,59,181
Adult,32,89
Adult,82,243
Adult,69,181
Adult,42,102
Child,108,197
Adult,43,90
Adult,101,127
Adult,76,197
Adult,68,163
Adult,41,137
Adult,70,138
Adult,79,184
Adult,33,187
Adult,41,195
Adult,49,112
Adult,36,190
Child,89,135
Adult,73,127
Child,22,31
Adult,29,100
Adult,51,120
Adult,32,138
Adult,29,128
Adult,94,201
Adult,42,135
Adult,24,105
Adult,86,157
Adult,100,203
Child,32,67
Adult,53,192
Adult,38,132
Adult,53,253
Adult,108,170
Adult,94,261
Adult,60,170
Adult,46,126
Adult,66,138
Adult,16,85
Adult,19,94
Child,46,64
Adult,44,127
Adult,25,164
Adult,31,122
Adult,63,182
Adult,30,176
Adult,53,287
Child,19,21
Child,134,154
Adult,25,84
Adult,44,118
Adult,32,83
Adult,57,149
Adult,53,247
Adult,22,196
Adult,34,132
Adult,58,200
Adult,24,126
Child,28,76
Adult,109,301
Adult,144,249
Adult,43,109
Adult,30,93
Adult,25,109
Adult,32,85
Child,21,42
Adult,32,82
Child,81,61
Adult,40,80
Adult,33,227
Adult,21,123
Child,49,129
Adult,100,218
Adult,31,90
Adult,42,86
Adult,62,235
Adult,43,168
Adult,52,101
Adult,32,80
Adult,31,106
Adult,33,105
Adult,31,82
Adult,57,252
Child,40,54
Child,21,87
Child,33,71
Adult,15,85
Adult,13,84
Adult,26,179
Adult,38,187
Adult,41,94
Child,16,62
Adult,36,66
Adult,29,85
Adult,35,67
Adult,37,109
Adult,21,69
Adult,36,112
Adult,126,448
Child,32,32
Adult,32,76
Child,27,27
Adult,26,69
Child,44,62
Child,29,75
Child,39,74
Child,24,68
Child,11,32
Adult,22,114
Child,49,78
Adult,53,155
Child,44,71
Adult,33,162
Adult,45,123
Child,13,27
Child,11,42
Adult,31,71
Adult,134,178
Child,37,122
Adult,38,149
Child,21,27
Child,24,51
Adult,34,131
Adult,38,205
Adult,39,109
Adult,26,74
Adult,53,65
Adult,60,331
Adult,32,97
Adult,15,80
Child,28,57
Child,46,82
Child,16,48
Child,12,24
Child,25,53
Adult,100,114
Adult,19,66
Adult,27,81
Child,17,50
Adult,39,70
Adult,32,85
Adult,29,80
Child,25,38
Child,43,217
Adult,86,167
Adult,32,96
