Category,Height,Width
Adult,50.0,157.0
Adult,76.0,186.0
Adult,70.0,129.0
Adult,34.0,115.0
Adult,24.0,110.0
Adult,51.0,170.0
Child,29.0,172.0
Child,23.0,51.0
Child,42.0,188.0
Adult,77.0,208.0
Adult,27.0,90.0
Child,80.0,221.0
Child,20.0,90.0
Adult,37.0,86.0
Adult,42.0,90.0
Adult,63.0,110.0
Adult,80.0,195.0
Adult,27.0,96.0
Adult,29.0,87.0
Adult,137.0,209.0
Child,31.0,92.0
Adult,35.0,125.0
Adult,112.0,294.0
Child,20.0,27.0
Adult,32.0,84.0
Adult,92.0,304.0
Child,31.0,29.0
Adult,48.0,176.0
Child,26.0,27.0
Adult,24.0,80.0
Adult,81.0,213.0
Adult,39.0,116.0
Adult,47.0,236.0
Adult,39.0,177.0
Child,49.0,66.0
Adult,60.0,172.0
Adult,52.0,125.0
Adult,40.0,129.0
Adult,24.0,103.0
Adult,52.0,112.0
Adult,80.0,251.0
Adult,49.0,170.0
Adult,59.0,222.0
Adult,24.0,83.0
Adult,37.0,135.0
Adult,32.0,131.0
Child,27.0,36.0
Adult,59.0,181.0
Adult,32.0,89.0
Adult,82.0,243.0
Adult,69.0,181.0
Adult,42.0,102.0
Child,108.0,197.0
Adult,43.0,90.0
Adult,101.0,127.0
Adult,76.0,197.0
Adult,68.0,163.0
Adult,41.0,137.0
Adult,70.0,138.0
Adult,79.0,184.0
Adult,33.0,187.0
Adult,41.0,195.0
Adult,49.0,112.0
Adult,36.0,190.0
Child,89.0,135.0
Adult,73.0,127.0
Child,22.0,31.0
Adult,29.0,100.0
Adult,51.0,120.0
Adult,32.0,138.0
Adult,29.0,128.0
Adult,94.0,201.0
Adult,42.0,135.0
Adult,24.0,105.0
Adult,86.0,157.0
Adult,100.0,203.0
Child,32.0,67.0
Adult,53.0,192.0
Adult,38.0,132.0
Adult,53.0,253.0
Adult,108.0,170.0
Adult,94.0,261.0
Adult,60.0,170.0
Adult,46.0,126.0
Adult,66.0,138.0
Adult,16.0,85.0
Adult,19.0,94.0
Child,46.0,64.0
Adult,44.0,127.0
Adult,25.0,164.0
Adult,31.0,122.0
Adult,63.0,182.0
Adult,30.0,176.0
Adult,53.0,287.0
Child,19.0,21.0
Child,134.0,154.0
Adult,25.0,84.0
Adult,44.0,118.0
Adult,32.0,83.0
Adult,57.0,149.0
Adult,53.0,247.0
Adult,22.0,196.0
Adult,34.0,132.0
Adult,58.0,200.0
Adult,24.0,126.0
Child,28.0,76.0
Adult,109.0,301.0
Adult,144.0,249.0
Adult,43.0,109.0
Adult,30.0,93.0
Adult,25.0,109.0
Adult,32.0,85.0
Child,21.0,42.0
Adult,32.0,82.0
Child,81.0,61.0
Adult,40.0,80.0
Adult,33.0,227.0
Adult,21.0,123.0
Child,49.0,129.0
Adult,100.0,218.0
Adult,31.0,90.0
Adult,42.0,86.0
Adult,62.0,235.0
Adult,43.0,168.0
Adult,52.0,101.0
Adult,32.0,80.0
Adult,31.0,106.0
Adult,33.0,105.0
Adult,31.0,82.0
Adult,57.0,252.0
Child,40.0,54.0
