Category,Height,Width
Child,21.0,87.0
Child,33.0,71.0
Adult,15.0,85.0
Adult,13.0,84.0
Adult,26.0,179.0
Adult,38.0,187.0
Adult,41.0,94.0
Child,16.0,62.0
Adult,36.0,66.0
Adult,29.0,85.0
Adult,35.0,67.0
Adult,37.0,109.0
Adult,21.0,69.0
Adult,36.0,112.0
Adult,126.0,448.0
Child,32.0,32.0
Adult,32.0,76.0
Child,27.0,27.0
Adult,26.0,69.0
Child,44.0,62.0
Child,29.0,75.0
Child,39.0,74.0
Child,24.0,68.0
Child,11.0,32.0
Adult,22.0,114.0
Child,49.0,78.0
Adult,53.0,155.0
Child,44.0,71.0
Adult,33.0,162.0
Adult,45.0,123.0
Child,13.0,27.0
Child,11.0,42.0
Adult,31.0,71.0
Adult,134.0,178.0
Child,37.0,122.0
Adult,38.0,149.0
Child,21.0,27.0
Child,24.0,51.0
Adult,34.0,131.0
Adult,38.0,205.0
Adult,39.0,109.0
Adult,26.0,74.0
Adult,53.0,65.0
Adult,60.0,331.0
Adult,32.0,97.0
Adult,15.0,80.0
Child,28.0,57.0
Child,46.0,82.0
Child,16.0,48.0
Child,12.0,24.0
Child,25.0,53.0
Adult,100.0,114.0
Adult,19.0,66.0
Adult,27.0,81.0
Child,17.0,50.0
Adult,39.0,70.0
Adult,32.0,85.0
Adult,29.0,80.0
Child,25.0,38.0
Child,43.0,217.0
Adult,86.0,167.0
Adult,32.0,96.0
Child,25.0,46.0
Child,52.0,132.0
Adult,29.0,100.0
Adult,57.0,78.0
Adult,29.0,76.0
Child,14.0,34.0
Adult,3.0,72.0
Child,18.0,39.0
Adult,29.0,148.0
Child,32.0,51.0
Child,18.0,48.0
Adult,28.0,158.0
Adult,5.0,86.0
Adult,33.0,110.0
Child,14.0,40.0
Adult,27.0,75.0
Adult,31.0,74.0
Adult,47.0,86.0
Child,21.0,94.0
Adult,37.0,87.0
Adult,36.0,66.0
Child,15.0,42.0
Child,23.0,27.0
Adult,34.0,178.0
Child,15.0,53.0
Adult,29.0,117.0
Adult,21.0,135.0
