Category,Height,Width
Adult,46.0,73.0
Adult,42.0,103.0
Child,9.0,43.0
Adult,18.0,79.0
Child,51.0,72.0
Adult,54.0,75.0
Adult,24.0,66.0
Adult,34.0,119.0
Adult,58.0,112.0
Adult,29.0,110.0
Adult,31.0,138.0
Adult,57.0,253.0
Adult,34.0,156.0
Adult,25.0,129.0
Adult,28.0,147.0
Child,34.0,32.0
Adult,34.0,133.0
Adult,22.0,110.0
Adult,30.0,91.0
Adult,56.0,143.0
Adult,57.0,247.0
Adult,29.0,69.0
Adult,24.0,66.0
Child,15.0,32.0
Adult,52.0,114.0
Adult,78.0,68.0
Adult,40.0,127.0
Adult,17.0,73.0
Child,9.0,30.0
Adult,18.0,92.0
Child,14.0,35.0
Adult,39.0,95.0
Adult,56.0,98.0
Adult,53.0,102.0
Child,11.0,36.0
Adult,41.0,126.0
Adult,44.0,89.0
Adult,48.0,86.0
Child,13.0,50.0
Adult,105.0,309.0
Child,91.0,71.0
Adult,40.0,69.0
Child,12.0,32.0
Adult,34.0,116.0
Adult,28.0,66.0
Child,27.0,60.0
Adult,12.0,70.0
Adult,19.0,69.0
Adult,40.0,51.0
Adult,90.0,208.0
Child,25.0,63.0
Adult,67.0,71.0
Adult,28.0,67.0
Adult,21.0,77.0
Adult,28.0,67.0
Adult,40.0,74.0
Child,40.0,63.0
Child,30.0,39.0
Child,24.0,34.0
Adult,37.0,92.0
Adult,38.0,78.0
Adult,39.0,135.0
Adult,34.0,68.0
Child,14.0,37.0
Child,54.0,192.0
Child,43.0,109.0
Adult,24.0,75.0
Adult,24.0,135.0
Adult,36.0,82.0
Adult,23.0,116.0
Adult,44.0,209.0
Adult,25.0,95.0
Child,18.0,59.0
Child,115.0,85.0
Adult,27.0,94.0
Child,20.0,46.0
Adult,33.0,108.0
Adult,43.0,67.0
Child,24.0,64.0
Adult,33.0,98.0
Child,18.0,71.0
Adult,24.0,76.0
Adult,44.0,125.0
Adult,66.0,171.0
Adult,31.0,113.0
Adult,46.0,218.0
Adult,28.0,69.0
Child,18.0,35.0
Child,18.0,34.0
Adult,32.0,97.0
Adult,42.0,143.0
Child,18.0,37.0
