Category,Height,Width
Adult,22.0,71.0
Adult,27.0,94.0
Adult,33.0,70.0
Child,16.0,35.0
Adult,47.0,62.0
Adult,35.0,72.0
Adult,24.0,70.0
Adult,25.0,60.0
Child,77.0,160.0
Adult,26.0,54.0
Adult,72.0,306.0
Adult,35.0,75.0
Adult,17.0,84.0
Adult,20.0,87.0
Adult,20.0,50.0
Adult,31.0,103.0
Adult,65.0,206.0
Adult,59.0,188.0
Adult,50.0,149.0
Child,37.0,109.0
Adult,20.0,60.0
Child,104.0,234.0
Child,45.0,64.0
Adult,15.0,67.0
Adult,38.0,90.0
Adult,14.0,50.0
Adult,22.0,62.0
Adult,62.0,90.0
Adult,28.0,105.0
Adult,42.0,134.0
Adult,29.0,56.0
Adult,32.0,70.0
Adult,57.0,159.0
Adult,23.0,73.0
Adult,25.0,64.0
Adult,46.0,126.0
Adult,21.0,68.0
Adult,31.0,90.0
Adult,72.0,195.0
Adult,28.0,71.0
Adult,20.0,50.0
Adult,44.0,163.0
Adult,18.0,51.0
Adult,74.0,108.0
Adult,23.0,110.0
Adult,55.0,207.0
Adult,46.0,87.0
Adult,18.0,85.0
Adult,36.0,142.0
Adult,37.0,123.0
Adult,26.0,73.0
Adult,30.0,54.0
Adult,20.0,50.0
Child,32.0,110.0
Child,14.0,33.0
Adult,21.0,72.0
Adult,90.0,273.0
Adult,31.0,121.0
Adult,36.0,87.0
Adult,48.0,154.0
Child,59.0,163.0
Adult,42.0,54.0
Adult,54.0,144.0
Adult,61.0,91.0
Adult,35.0,135.0
Child,14.0,35.0
Adult,37.0,121.0
Adult,32.0,94.0
Adult,31.0,94.0
Adult,15.0,63.0
Adult,21.0,62.0
Adult,23.0,57.0
Adult,45.0,131.0
Adult,46.0,98.0
Adult,57.0,219.0
Adult,27.0,108.0
Adult,29.0,64.0
Adult,33.0,108.0
Adult,23.0,65.0
Adult,33.0,82.0
Child,53.0,90.0
Adult,24.0,71.0
Adult,20.0,60.0
Adult,52.0,187.0
Adult,41.0,105.0
Adult,26.0,71.0
Adult,48.0,149.0
Adult,34.0,80.0
Adult,28.0,59.0
Adult,17.0,60.0
Adult,24.0,92.0
Adult,54.0,113.0
Adult,42.0,93.0
Adult,26.0,84.0
Adult,96.0,180.0
Child,28.0,58.0
Adult,51.0,123.0
Adult,46.0,99.0
Adult,29.0,89.0
Adult,32.0,117.0
Adult,16.0,51.0
Adult,40.0,82.0
Adult,39.0,73.0
Adult,20.0,65.0
Adult,15.0,56.0
Adult,33.0,89.0
Adult,69.0,239.0
Adult,40.0,102.0
Adult,33.0,109.0
Adult,44.0,97.0
Adult,33.0,146.0
Adult,22.0,51.0
Adult,26.0,60.0
Adult,38.0,103.0
Adult,23.0,127.0
Adult,26.0,78.0
Adult,74.0,307.0
Adult,33.0,78.0
Adult,65.0,170.0
Adult,23.0,117.0
Adult,25.0,69.0
Adult,46.0,108.0
Adult,19.0,53.0
Adult,24.0,82.0
Adult,21.0,78.0
Adult,36.0,66.0
Child,59.0,161.0
Adult,34.0,149.0
Adult,15.0,50.0
Adult,148.0,524.0
Child,14.0,45.0
Child,56.0,54.0
Adult,30.0,82.0
Adult,36.0,114.0
Adult,22.0,72.0
Child,84.0,94.0
Adult,28.0,78.0
Adult,65.0,129.0
Adult,28.0,136.0
Adult,22.0,75.0
Adult,38.0,55.0
Adult,35.0,122.0
Adult,20.0,51.0
Adult,18.0,66.0
Adult,48.0,81.0
Adult,34.0,87.0
Adult,24.0,58.0
Adult,19.0,80.0
Adult,80.0,87.0
Child,23.0,71.0
Adult,27.0,78.0
Adult,112.0,225.0
Adult,26.0,68.0
Adult,31.0,103.0
Adult,35.0,130.0
Adult,27.0,87.0
Adult,17.0,73.0
Child,79.0,270.0
Adult,43.0,98.0
Adult,15.0,62.0
Adult,21.0,69.0
Adult,74.0,217.0
Adult,71.0,67.0
Adult,39.0,50.0
Adult,40.0,108.0
Adult,21.0,76.0
Adult,38.0,90.0
Adult,25.0,78.0
Adult,21.0,63.0
Adult,40.0,105.0
Adult,93.0,295.0
Adult,28.0,94.0
Adult,31.0,80.0
